tiktok_id,included,n_ppl,gender,gender_2,lang,country,support_vaccine,hcp,verified_hcp,genre,satire_who,correct,satire_comment,why_incorrect,myth_referenced,caption_helpful,infectious_disease_review,general_comments,satire_y_n,commentary_y_n,story_y_n,skit_y_n,silent_y_n,author,url,likes,shares,comments,author_followers,plays,description
1,Yes,Single,Male,NA,English,Unclear,Yes,No,Non applicable,Satire,Antivaxers,N/A,"satire of antivaxxers. making fun of the claims that people who vaccinate are sheep, ""every single person who took the smallpox vaccine is dead now""; satirizing people' fearing vaccine side effects",NA,COVID Vaccine will cause anyone serious short term side effects,NA,No,NA,Y,N,N,N,N,brandongrogan61,https://www.tiktok.com/@brandongrogan61/video/6909968929309871366,2800000,111700,62600,67300,18400000,Fax #vaccine #covidvaccine #comedy #satire
2,Yes,Single,Female,female,English,USA,Yes,No,Non applicable,"Commentary, Story Telling",NA,Yes,this is a retelling of a person's experiences during and after the vaccination. shows how you record the vaccination record on the CDC card.,NA,COVID Vaccine will cause anyone serious short term side effects,NA,No,NA,N,N,N,N,N,live_laugh_lizzie,https://www.tiktok.com/@live_laugh_lizzie/video/6909272173135793414,2400000,11700,23100,58100,8900000,comment if u want any more updates from jean #covidvaccine #covid19 #coronavaccine #wearamask
3,Yes,Single,Male,NA,English,Unclear,Yes,No,Non applicable,"Satire, Skit",Antivaxers,N/A,Skit about long term side effects; but the video itself is unclear if it's satire; in the comments it seems author is pro vaccine,NA,"COVID-19 vaccine will alter my DNA, COVID vaccine will cause people to grow extra limbs and appendages we don't know the long term side effects",Comment: funny but do get vaccinated [emoji] Creator: Agreed,No,"a lot of antivax comments on this tik tok not understanding that this is satire, sketch might have unintended effect of promoting antivax sentiments",Y,N,N,N,N,ericryanericryan,https://www.tiktok.com/@ericryanericryan/video/6955324892459928837,2400000,807500,23700,263300,24800000,#covidvaccine #vaccine #skit #jandj #pfizervaccine #sideeffectsmayinclude #neighbors #millenials
4,Yes,Single,Male,NA,English,Unclear,Yes,No,Non applicable,"Story Telling, Skit",NA,Yes,"provides basic representation of how vaccines confer immunity, makes an analogy to illustrate importance of 2 doses to improve immune response",NA,No myth,NA,No,NA,N,N,N,N,N,hotvickkrishna,https://www.tiktok.com/@hotvickkrishna/video/6946300405756349702,2300000,146400,16900,214400,13000000,Why we need Two Doses of mRNA Vaccine 💉 #fyp #vaccine #mrna #pfizer #moderna #science101 #skit #covid19 #covidvaccine #learnontiktok
5,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,Silent video with visuals,NA,Yes,vaccines will help us return to normalcy and move back to an in person environment.,NA,No myth,NA,No,NA,N,N,N,N,N,annie_wu_22,https://www.tiktok.com/@annie_wu_22/video/6947594672156052741,1900000,53100,26000,11100,7200000,this ad made me so emotional... oof my heart🥺😭 #covidvaccine #healthcare #strongertogether #google #family #quarantine #feels #goodnews #feelgood
6,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Story Telling,  Satire",Antivaxers,Yes,creator is poking fun at the vaccine side effect of not being able to feel her fingers when she is congenitally missing both hands,NA,COVID Vaccine will cause anyone serious short term side effects,NA,No,"a lot of antivax comments on this tik tok not understanding that this is satire, sketch might have unintended effect of promoting antivax sentiments",Y,N,N,N,N,2fingered_t_rex,https://www.tiktok.com/@2fingered_t_rex/video/6951078108917157125,1800000,70200,15400,1800000,8900000,I did it!!! #covidvaccine
7,Yes,Double,Female,Male,English,Unclear,Yes,No,Non applicable,"Satire, Stitch (reply to another video)",Antivaxers,Yes,"poking fun at vaccines causing autism. an autistic person jokingly refers to the vaccine as an ""autism update""",NA,COVID Vaccine will cause autism,NA,No,Educational Content but not by HCP by an actor,Y,N,N,N,N,rattoast,https://www.tiktok.com/@rattoast/video/6922661088769117446,988100,114100,10300,119100,5500000,#stitch with @dizzyon.thecomedown Take two at this stitch 🎥 #fyp #covidvaccine #goldenspotlight
8,No,Single,Female,NA,English,Unclear,No,No,Non applicable,"Commentary, Story Telling",NA,N/A,tik tok story unrelated to covid vaccine,NA,No myth,NA,No,NA,N,N,N,N,N,baph_,https://www.tiktok.com/@baph_/video/6931417561959582981,971300,2855,5533,33800,7400000,#womensupportingwomen #covidvaccine
9,Yes,Double,Male,male,English,USA,No,No,Non applicable,"Commentary, Stitch (reply to another video)",NA,No,tik toker does not accurately describe HIPAA privacy laws. otherwise the rest of the tik tok is more so political arguments about freedom of choice as opposed to discussing the science of the vaccine.,Misinformation,No myth,NA,No,Google Ad which is showing how vaccines can help us get back to normal,N,N,N,N,N,trollonpatrol,https://www.tiktok.com/@trollonpatrol/video/6962934469401611526,915800,119400,27400,293400,4800000,Liberals and the COVID war...life lessons #covid19 #covid #covidvaccine #mybodymychoice #viral #foryou #foryourpage #educateyourself #4thamendment
10,Yes,Single,Female,female,English,USA,No,No,Non applicable,"Commentary, Story Telling",NA,N/A,"not relevant to covid vaccine, this is about covid testing",NA,No myth,NA,No,NA,N,N,N,N,N,lacceeyy0,https://www.tiktok.com/@lacceeyy0/video/6923186142980427014,887300,3523,3084,30900,6200000,Our children are so resilient. #GEICOLipSync #covid19 #covidtesting #covidvaccine #pandemic #florida #fyp #foryoupage #4u
